image,source_document,page,source_type,width,height,orientation_angle,orientation_confidence,orientation_applied,perspective_confidence,perspective_corrected,crop_applied,blur_score,brightness,contrast,skew_angle,skew_confidence,deskew_applied,contrast_enhanced,quality_status,quality_flags,sha256,content_ratio,duplicate_group,audit_status,audit_flags,include_in_training
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p005.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,5,pdf,2339,1654,0,0.925,no,0.000,no,no,5464.051,222.403,49.911,-0.000,0.734,no,no,accepted,,10dac872f3c09ec6387c862cbf26e78bf7ec15d93c0bde7322ae6ffee26defb2,0.362331,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p006.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,6,pdf,2339,1654,0,0.923,no,0.000,no,no,5459.994,222.352,49.932,-0.000,0.734,no,no,accepted,,d5394329c17c27bfc7b6becc46c300e5de35f79d635342ed0dad8adf9d996734,0.362678,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p007.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,7,pdf,2339,1654,0,0.924,no,0.000,no,no,5398.653,222.485,49.807,-0.000,0.745,no,no,accepted,,01d14f1f6754ba01bbe8112b29a869600e5692ffb1654fa84276f4f4623818ca,0.362297,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p008.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,8,pdf,2339,1654,0,0.924,no,0.000,no,no,5425.229,222.412,49.896,-0.000,0.745,no,no,accepted,,34b9ad50b9d7ceb71d21a741bcf15ca9c3fe981ac039f47604342c3e1e4f98cf,0.362456,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p009.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,9,pdf,2339,1654,0,0.926,no,0.000,no,no,5341.524,222.516,49.824,-0.000,0.756,no,no,accepted,,70ea159527063c6876a2e8eb333bd2b8f8bc2f99fb4172aeeab08893a2378deb,0.361698,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p010.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,10,pdf,2339,1654,0,0.924,no,0.000,no,no,5370.346,222.523,49.795,-0.000,0.730,no,no,accepted,,3fbae3975502358e83216e9f593271f349592f15cb867f05ce77f2166755b2a2,0.361869,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p011.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,11,pdf,2339,1654,0,0.927,no,0.000,no,no,5424.128,222.444,49.879,-0.000,0.741,no,no,accepted,,66a301d46055cab297d4ba631719fbbc28b0d019dce48e5286ffe0e7bbdd7fc9,0.362303,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p012.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,12,pdf,2339,1654,0,0.921,no,0.000,no,no,5364.963,222.561,49.745,-0.000,0.738,no,no,accepted,,e0296ff9f54fabb5c1d9b639583631b317272da1aa3714e54f1c6dff9730fcdd,0.361834,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p013.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,13,pdf,2339,1654,0,0.928,no,0.000,no,no,5237.540,222.743,49.384,-0.000,0.715,no,no,accepted,,ddf1a86102248629faa869c22c29aa39eb9455903cb34669691bc7dcbdb06511,0.362289,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p014.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,14,pdf,2339,1654,0,0.928,no,0.000,no,no,2980.562,226.151,46.884,-0.000,0.775,no,no,accepted,,2f1a552faee916ed30b4e897cbbc78312b89d2e0d2f6a270e4edb6046d0bda32,0.344096,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p015.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,15,pdf,2339,1654,0,0.895,no,0.000,no,no,3566.523,225.045,48.136,-0.000,0.775,no,no,accepted,,632aef344f9a8108ea61ee70922faf73c038229c1021e9e22831c2041d84ddcd,0.347960,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p016.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,16,pdf,2339,1654,0,0.921,no,0.000,no,no,3368.668,227.810,48.225,0.250,0.730,no,no,accepted,,bc955dc74e416a952403e53ebd5dd2fe764ce234028604ff7e699be4263697e2,0.300045,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p017.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,17,pdf,2339,1654,0,0.928,no,0.000,no,no,2903.296,248.147,23.925,-0.000,0.756,no,no,accepted,,307022d6f3da872aa3cffac2a58686d3293121370371044e0c7c9fd5f2b399a7,0.061756,dup_010,review,exact_duplicate,yes
images/21069564248064-hqvxmkacigbfrx1bq4n6xypa24a6__p001.png,21069564248064_hqvxmkacigbfrx1bq4n6xypa24a6.pdf,1,pdf,1654,2339,0,0.920,no,0.000,no,no,7096.311,220.309,51.917,-0.000,0.955,no,no,accepted,,f23cf549a4399f109e805188043036fda177bc3a89b7ea98c0afbbde4837d533,0.356980,,keep,,yes
images/21069564248064-hqvxmkacigbfrx1bq4n6xypa24a6__p002.png,21069564248064_hqvxmkacigbfrx1bq4n6xypa24a6.pdf,2,pdf,1654,2339,0,0.916,no,0.000,no,no,6948.342,220.599,51.632,-0.000,0.959,no,no,accepted,,dd426c848ac27ae40a9997f1c791c92a018bee4f5236c6ee51a439b4a12da9d1,0.355949,,keep,,yes
images/21069564248064-hqvxmkacigbfrx1bq4n6xypa24a6__p003.png,21069564248064_hqvxmkacigbfrx1bq4n6xypa24a6.pdf,3,pdf,1654,2339,0,0.912,no,0.000,no,no,6955.112,220.579,51.636,-0.000,0.962,no,no,accepted,,5c4db471ade7e6176f29f545d1a3a40e6a28af73c6351a8867bedad1e8b0a5ef,0.356033,,keep,,yes
images/21069564248064-hqvxmkacigbfrx1bq4n6xypa24a6__p004.png,21069564248064_hqvxmkacigbfrx1bq4n6xypa24a6.pdf,4,pdf,1654,2339,0,0.925,no,0.000,no,no,7043.000,220.442,51.760,-0.000,0.974,no,no,accepted,,0c53f7b24ddd312c1dbcc9ffc84a05072bdcfc6bddb48925b8751f0434a8cdcb,0.356385,,keep,,yes
images/21069564248064-hqvxmkacigbfrx1bq4n6xypa24a6__p005.png,21069564248064_hqvxmkacigbfrx1bq4n6xypa24a6.pdf,5,pdf,1654,2339,0,0.927,no,0.000,no,no,5248.242,223.364,49.277,-0.000,0.940,no,no,accepted,,a5089192e2e920014b4b653a874d99f2241effd95c5592d8bf8be7939eb6a0cf,0.344436,,keep,,yes
images/21069564248064-hqvxmkacigbfrx1bq4n6xypa24a6__p006.png,21069564248064_hqvxmkacigbfrx1bq4n6xypa24a6.pdf,6,pdf,1654,2339,0,0.663,no,0.636,no,no,1688.089,229.126,43.609,-0.250,0.565,no,no,review,document_contour_uncertain,db4fec1da5b4707d2290283226573529a6d4e8fd3ec1cf327c41fc3bfa3067ff,0.319268,,review,,yes
images/21069564248064-hqvxmkacigbfrx1bq4n6xypa24a6__p007.png,21069564248064_hqvxmkacigbfrx1bq4n6xypa24a6.pdf,7,pdf,1654,2339,0,0.939,no,0.000,no,no,3729.683,231.443,45.346,-0.000,0.876,no,no,accepted,,69b41aef0c2dd00026c3532e2effc6e24082793ff0fa691feb6819674c857030,0.249068,,keep,,yes
images/21069564248064-hqvxmkacigbfrx1bq4n6xypa24a6__p008.png,21069564248064_hqvxmkacigbfrx1bq4n6xypa24a6.pdf,8,pdf,1654,2339,0,0.926,no,0.000,no,no,2895.640,248.157,23.886,-0.000,1.000,no,no,accepted,,8ab8e8dee3525533c9fe41b48217e835e9a7f401ca188eeaab5c30ef7b1bdaa3,0.061714,dup_009,review,exact_duplicate,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p001.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,1,pdf,2339,1654,0,0.923,no,0.000,no,no,4491.688,223.930,48.726,-0.000,0.865,no,no,accepted,,3c20f1ea556b316794f2a9526d87751ea4fedc78a3ec7ccf0213c41b31281b88,0.354102,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p002.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,2,pdf,2339,1654,0,0.929,no,0.000,no,no,4962.206,223.035,49.416,-0.000,0.767,no,no,accepted,,a23bebfc5caee980347b073478011d0c4152f94e600ab14d8f908d3ce6e0f538,0.359137,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p003.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,3,pdf,2339,1654,0,0.926,no,0.000,no,no,5217.048,222.701,49.655,-0.000,0.775,no,no,accepted,,29ea491147185204003d08c8f18c8025c4e371205dc683e0710e35298bd16772,0.360859,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p004.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,4,pdf,2339,1654,0,0.925,no,0.000,no,no,5521.009,222.293,49.975,-0.000,0.767,no,no,accepted,,ab1321c4f9ec2c717c16429c88c86ab2e4423daaea684b680382a7697b3cf926,0.363080,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p005.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,5,pdf,2339,1654,0,0.922,no,0.000,no,no,5469.456,222.373,49.932,-0.000,0.734,no,no,accepted,,68a8b233e5b22fdad9dd2090b8e9da5b333ccb53f2552b967dc90551767cf516,0.362555,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p006.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,6,pdf,2339,1654,0,0.920,no,0.000,no,no,5321.116,222.580,49.741,-0.000,0.730,no,no,accepted,,b725c592676472f667c054cf5d81c0c0f6725e6a2b833b2ad5a24f280fe7474c,0.361636,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p007.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,7,pdf,2339,1654,0,0.926,no,0.000,no,no,5541.692,222.306,49.967,-0.000,0.764,no,no,accepted,,c6d25255a0ae4cf85597613b91c90ce96fbc9b6c6a6c310f5701a02ae2ea12da,0.363090,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p008.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,8,pdf,2339,1654,0,0.924,no,0.000,no,no,5464.456,222.367,49.898,-0.000,0.753,no,no,accepted,,bc1d09783930983e1aface177ba976b29fec5ef597c1aace02534a22b93e8214,0.362644,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p009.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,9,pdf,2339,1654,0,0.924,no,0.000,no,no,5246.999,222.696,49.673,-0.000,0.753,no,no,accepted,,41a8c8f985ab68bd0f0c56288049dd4255a51b578f01f70ec0e6c5453a1f93fc,0.360999,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p010.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,10,pdf,2339,1654,0,0.928,no,0.000,no,no,5452.400,222.399,49.920,-0.000,0.741,no,no,accepted,,323e627993c598c52fbd995013ce07cb6ab22cc26a2795f9e437c46e7b02cac6,0.362356,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p011.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,11,pdf,2339,1654,0,0.926,no,0.000,no,no,5285.734,222.640,49.700,-0.000,0.730,no,no,accepted,,9c8cccd7990f1a90ff9d053ffa8eab17a71e8d6760b9081cea234bb8d81fef55,0.361340,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p012.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,12,pdf,2339,1654,0,0.924,no,0.000,no,no,5545.592,222.255,50.023,-0.000,0.760,no,no,accepted,,947dd707280e66ba0935b6f41f9b765d544f275b433ff4910533e1a12f0ce10f,0.363069,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p013.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,13,pdf,2339,1654,0,0.922,no,0.000,no,no,4750.532,223.495,49.078,-0.000,0.723,no,no,accepted,,f682096ef97d007ea646a91af9478b1a79191c323143d18ff2567c771a95a1ba,0.356889,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p014.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,14,pdf,2339,1654,0,0.903,no,0.000,no,no,4690.125,223.679,48.576,-0.000,0.696,no,no,accepted,,7b528c7fe64ceafcd87e282cf33e035e39f8e36a9c6126af2f79e298d3b73ce8,0.358379,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p015.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,15,pdf,2339,1654,0,0.938,no,0.000,no,no,3835.780,224.619,48.526,-0.000,0.820,no,no,accepted,,595be5863b7fa560982cd4b7e3a3a0c9cd2faea5f7d6c8bcb880ff39ce2ef744,0.350075,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p016.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,16,pdf,2339,1654,0,0.929,no,0.000,no,no,4076.107,226.502,49.546,-0.000,0.782,no,no,accepted,,2ff49d301f2930e3af0ac3de307ebd77b42dbd86b66ff34c78b72174e3fccc15,0.305737,,keep,,yes
images/21069564252160-chdvml200m88aj5hrz63c1p37qbf__p017.png,21069564252160_chdvml200m88aj5hrz63c1p37qbf.pdf,17,pdf,2339,1654,0,0.928,no,0.000,no,no,2903.296,248.147,23.925,-0.000,0.756,no,no,accepted,,307022d6f3da872aa3cffac2a58686d3293121370371044e0c7c9fd5f2b399a7,0.061756,dup_010,review,exact_duplicate,yes
images/21069564268544-pi9kogqte8v04z24u6mr95wkjast__p001.png,21069564268544_pi9kogqte8v04z24u6mr95wkjast.pdf,1,pdf,1654,2339,0,0.934,no,0.000,no,no,7069.533,220.314,51.933,-0.000,0.944,no,no,accepted,,a8caff907befbaa00db9aab03ba6ea7f1381cc06604a3e37759a1a36f87cf096,0.356579,,keep,,yes
images/21069564268544-pi9kogqte8v04z24u6mr95wkjast__p002.png,21069564268544_pi9kogqte8v04z24u6mr95wkjast.pdf,2,pdf,1654,2339,0,0.925,no,0.000,no,no,6979.359,220.563,51.670,-0.000,0.959,no,no,accepted,,9733f018ada6a58033ddbe4e739e4ea218a01b78d1e082678ecc35b03433bba2,0.356123,,keep,,yes
images/21069564268544-pi9kogqte8v04z24u6mr95wkjast__p003.png,21069564268544_pi9kogqte8v04z24u6mr95wkjast.pdf,3,pdf,1654,2339,0,0.936,no,0.000,no,no,6929.041,220.627,51.629,-0.000,0.959,no,no,accepted,,8fc716aac8ba21bc11a3dbf0c1eefb09aa9139aa485c0c82841501785c1b9d4d,0.355643,,keep,,yes
images/21069564268544-pi9kogqte8v04z24u6mr95wkjast__p004.png,21069564268544_pi9kogqte8v04z24u6mr95wkjast.pdf,4,pdf,1654,2339,0,0.868,no,0.000,no,no,6979.635,220.545,51.678,-0.000,0.962,no,no,accepted,,685a385d8c6c27157dd18025ef64110f7fa21b37d60608fef8aeaf52abf67506,0.356036,,keep,,yes
images/21069564268544-pi9kogqte8v04z24u6mr95wkjast__p005.png,21069564268544_pi9kogqte8v04z24u6mr95wkjast.pdf,5,pdf,1654,2339,0,0.928,no,0.000,no,no,4824.728,224.034,48.675,-0.000,0.940,no,no,accepted,,cb52d825fdece7ddff469663af1961615cbdafa4518cf059269ed377378fe445,0.341488,,keep,,yes
images/21069564268544-pi9kogqte8v04z24u6mr95wkjast__p006.png,21069564268544_pi9kogqte8v04z24u6mr95wkjast.pdf,6,pdf,1654,2339,90,0.635,no,0.637,no,no,1684.578,229.127,43.640,-0.250,0.554,no,no,review,orientation_uncertain;document_contour_uncertain,9d9db1265b6eebc0716d18bfb3a4a7aea5dc1ecebe9ec857cb38495311f0583d,0.319107,,review,,yes
images/21069564268544-pi9kogqte8v04z24u6mr95wkjast__p007.png,21069564268544_pi9kogqte8v04z24u6mr95wkjast.pdf,7,pdf,1654,2339,0,0.934,no,0.000,no,no,3628.470,231.480,45.220,-0.000,0.884,no,no,accepted,,b86d59e27c951fcc9cba68c58537b24cb991c85259f85f0a17ca5c85ad71f3aa,0.248984,,keep,,yes
images/21069564268544-pi9kogqte8v04z24u6mr95wkjast__p008.png,21069564268544_pi9kogqte8v04z24u6mr95wkjast.pdf,8,pdf,1654,2339,0,0.926,no,0.000,no,no,2895.640,248.157,23.886,-0.000,1.000,no,no,accepted,,8ab8e8dee3525533c9fe41b48217e835e9a7f401ca188eeaab5c30ef7b1bdaa3,0.061714,dup_009,review,exact_duplicate,yes
images/21069564289024-05uxv4klhw9dy9ixkhoe93hqfk4q__p001.png,21069564289024_05uxv4klhw9dy9ixkhoe93hqfk4q.pdf,1,pdf,1654,2339,0,0.862,no,0.000,no,no,7037.906,220.358,51.923,-0.000,0.955,no,no,accepted,,9604fbdf2a08466f978c3f9f4cca7a5e5b1d362b81d3a9e1f17942ba9e831413,0.356384,,keep,,yes
images/21069564289024-05uxv4klhw9dy9ixkhoe93hqfk4q__p002.png,21069564289024_05uxv4klhw9dy9ixkhoe93hqfk4q.pdf,2,pdf,1654,2339,0,0.923,no,0.000,no,no,6902.305,220.677,51.615,-0.000,0.951,no,no,accepted,,a2a21817a3e5d91e1d397b5fe496aa29114c04b21ce6244d402a82e7e616dac3,0.355318,,keep,,yes
images/21069564289024-05uxv4klhw9dy9ixkhoe93hqfk4q__p003.png,21069564289024_05uxv4klhw9dy9ixkhoe93hqfk4q.pdf,3,pdf,1654,2339,0,0.924,no,0.000,no,no,7007.784,220.549,51.698,-0.000,0.962,no,no,accepted,,2bfb2ba806ac73b82cfc2106f4e1a3fe549517fa636e4378e68a7ab0d96cb610,0.355970,,keep,,yes
images/21069564289024-05uxv4klhw9dy9ixkhoe93hqfk4q__p004.png,21069564289024_05uxv4klhw9dy9ixkhoe93hqfk4q.pdf,4,pdf,1654,2339,0,0.914,no,0.000,no,no,6951.123,220.585,51.649,-0.000,0.974,no,no,accepted,,1fcaf87b6107a6316ee117f933cafb4ee787863b3e7bdc1ef630aefc4bd87f02,0.355921,,keep,,yes
images/21069564289024-05uxv4klhw9dy9ixkhoe93hqfk4q__p005.png,21069564289024_05uxv4klhw9dy9ixkhoe93hqfk4q.pdf,5,pdf,1654,2339,0,0.921,no,0.000,no,no,7036.658,220.470,51.744,-0.000,0.970,no,no,accepted,,39b6359ca72fbf28302cbf1d1c20496cf21e6696f4be4acdebfe32479683b369,0.356347,,keep,,yes
images/21069564289024-05uxv4klhw9dy9ixkhoe93hqfk4q__p006.png,21069564289024_05uxv4klhw9dy9ixkhoe93hqfk4q.pdf,6,pdf,1654,2339,0,0.926,no,0.000,no,no,5249.422,223.339,49.261,-0.000,0.932,no,no,accepted,,32597bd7bf1c66dc54e5e3cf2ddc55ced38af88327dc4b8eb8dc312ffc38a59d,0.344680,,keep,,yes
images/21069564289024-05uxv4klhw9dy9ixkhoe93hqfk4q__p007.png,21069564289024_05uxv4klhw9dy9ixkhoe93hqfk4q.pdf,7,pdf,1654,2339,270,0.621,no,0.637,no,no,1684.690,229.126,43.640,-0.250,0.554,no,no,review,orientation_uncertain;document_contour_uncertain,9eef4f4cf4bffa5ad896c24e4e07578bc6ac8246b1f3acbfe5c761222766c8e3,0.319113,,review,,yes
images/21069564289024-05uxv4klhw9dy9ixkhoe93hqfk4q__p008.png,21069564289024_05uxv4klhw9dy9ixkhoe93hqfk4q.pdf,8,pdf,1654,2339,0,0.933,no,0.000,no,no,3647.442,231.471,45.234,-0.000,0.880,no,no,accepted,,216cdd84347557f536c64401b2b6911f5b8356a9b08abeb17995e9bb492b2f75,0.249035,,keep,,yes
images/21069564289024-05uxv4klhw9dy9ixkhoe93hqfk4q__p009.png,21069564289024_05uxv4klhw9dy9ixkhoe93hqfk4q.pdf,9,pdf,1654,2339,0,0.926,no,0.000,no,no,2895.640,248.157,23.886,-0.000,1.000,no,no,accepted,,8ab8e8dee3525533c9fe41b48217e835e9a7f401ca188eeaab5c30ef7b1bdaa3,0.061714,dup_009,review,exact_duplicate,yes
images/21069564305408-dv02tbcolnjpmgl029rr1k9aiuwk__p001.png,21069564305408_dv02tbcolnjpmgl029rr1k9aiuwk.pdf,1,pdf,1654,2339,0,0.925,no,0.000,no,no,6988.199,220.445,51.846,-0.000,0.951,no,no,accepted,,fd87bc1d4d6a36e03c139d6be0aac491e7641c0d12f2c65a7221962d98dce337,0.355974,,keep,,yes
images/21069564305408-dv02tbcolnjpmgl029rr1k9aiuwk__p002.png,21069564305408_dv02tbcolnjpmgl029rr1k9aiuwk.pdf,2,pdf,1654,2339,0,0.816,no,0.000,no,no,6962.272,220.560,51.663,-0.000,0.970,no,no,accepted,,c413959579abd8d6f6e36340bf6203306eeafc21fe03172dc7c21a00f96d3047,0.356009,,keep,,yes
images/21069564305408-dv02tbcolnjpmgl029rr1k9aiuwk__p003.png,21069564305408_dv02tbcolnjpmgl029rr1k9aiuwk.pdf,3,pdf,1654,2339,0,0.915,no,0.000,no,no,6844.729,220.720,51.513,-0.000,0.959,no,no,accepted,,ccd3113643c149a5519a4af82285cc72716e000378ddc0f0426ca9da13bdc425,0.355463,,keep,,yes
images/21069564305408-dv02tbcolnjpmgl029rr1k9aiuwk__p004.png,21069564305408_dv02tbcolnjpmgl029rr1k9aiuwk.pdf,4,pdf,1654,2339,0,0.930,no,0.000,no,no,6916.162,220.599,51.706,-0.000,0.966,no,no,accepted,,568fe08ab2439df9967ff807270e584d69739e4921b8978d8106909abf5e2e80,0.355312,,keep,,yes
images/21069564305408-dv02tbcolnjpmgl029rr1k9aiuwk__p005.png,21069564305408_dv02tbcolnjpmgl029rr1k9aiuwk.pdf,5,pdf,1654,2339,0,0.914,no,0.000,no,no,6972.813,220.509,51.674,-0.000,0.962,no,no,accepted,,d13fd7a74787cd0ce22d8eb6c11661f8e87dd36d15c2643c90563159e6c556cf,0.356349,,keep,,yes
images/21069564305408-dv02tbcolnjpmgl029rr1k9aiuwk__p006.png,21069564305408_dv02tbcolnjpmgl029rr1k9aiuwk.pdf,6,pdf,1654,2339,0,0.925,no,0.000,no,no,5367.985,223.193,49.331,-0.000,0.944,no,no,accepted,,b7710c3b25c64e24b09e8779c342955eb2eaf6b1388246a97331a63cf49d1d6f,0.345690,,keep,,yes
images/21069564305408-dv02tbcolnjpmgl029rr1k9aiuwk__p007.png,21069564305408_dv02tbcolnjpmgl029rr1k9aiuwk.pdf,7,pdf,1654,2339,90,0.544,no,0.637,no,no,1687.486,229.119,43.644,-0.250,0.554,no,no,review,orientation_uncertain;document_contour_uncertain,4920f150e0980497972cda58c517bdad56d67d170fe9f3cf94ee54d791c4a158,0.319152,,review,,yes
images/21069564305408-dv02tbcolnjpmgl029rr1k9aiuwk__p008.png,21069564305408_dv02tbcolnjpmgl029rr1k9aiuwk.pdf,8,pdf,1654,2339,0,0.933,no,0.000,no,no,3644.923,231.467,45.228,-0.000,0.884,no,no,accepted,,ddd7621dd1704758f2a68f49f13c736d373fbc8aa759ce511958deeb468ffcac,0.249075,,keep,,yes
images/21069564305408-dv02tbcolnjpmgl029rr1k9aiuwk__p009.png,21069564305408_dv02tbcolnjpmgl029rr1k9aiuwk.pdf,9,pdf,1654,2339,0,0.926,no,0.000,no,no,2895.640,248.157,23.886,-0.000,1.000,no,no,accepted,,8ab8e8dee3525533c9fe41b48217e835e9a7f401ca188eeaab5c30ef7b1bdaa3,0.061714,dup_009,review,exact_duplicate,yes
images/21069564370944-3rfjnodyrfw6m950l8eh6078q3em__p001.png,21069564370944_3rfjnodyrfw6m950l8eh6078q3em.pdf,1,pdf,1654,2339,0,0.867,no,0.000,no,no,7124.002,220.231,51.962,-0.000,0.955,no,no,accepted,,480596aea2b8bcd6c0930aad1a0b12637b469672a3052609ff6b83bb61a1b78c,0.357323,,keep,,yes
images/21069564370944-3rfjnodyrfw6m950l8eh6078q3em__p002.png,21069564370944_3rfjnodyrfw6m950l8eh6078q3em.pdf,2,pdf,1654,2339,0,0.936,no,0.000,no,no,4241.201,224.951,47.788,-0.000,0.921,no,no,accepted,,8119ae5d5ee7250aa8495be85ac542cf6b75c468ee16c265f55e85636de6a438,0.337999,,keep,,yes
images/21069564370944-3rfjnodyrfw6m950l8eh6078q3em__p003.png,21069564370944_3rfjnodyrfw6m950l8eh6078q3em.pdf,3,pdf,1654,2339,0,0.879,no,0.000,no,no,2689.065,233.343,42.943,-0.000,0.730,no,no,accepted,,23d825f46d3a498bc7c54c4b4795e3ac6ecd5eee4cb1379c5d4e0ff5cffe8c11,0.241050,,keep,,yes
images/21069564370944-3rfjnodyrfw6m950l8eh6078q3em__p004.png,21069564370944_3rfjnodyrfw6m950l8eh6078q3em.pdf,4,pdf,1654,2339,0,0.926,no,0.000,no,no,2895.640,248.157,23.886,-0.000,1.000,no,no,accepted,,8ab8e8dee3525533c9fe41b48217e835e9a7f401ca188eeaab5c30ef7b1bdaa3,0.061714,dup_009,review,exact_duplicate,yes
images/21069623816192-28bj9z2mzr0mbn7h8v2h87w4yu93__p001.png,21069623816192_28bj9z2mzr0mbn7h8v2h87w4yu93.pdf,1,pdf,1653,2339,0,0.920,no,0.000,no,no,6258.567,242.785,42.772,-0.000,0.749,no,no,accepted,,522d1c5b5287c6f7a24b3d78e9ebf9b3e6295d402572344f0e280468e6300c03,0.083090,,keep,,yes
images/21069623816192-28bj9z2mzr0mbn7h8v2h87w4yu93__p002.png,21069623816192_28bj9z2mzr0mbn7h8v2h87w4yu93.pdf,2,pdf,1653,2339,180,0.861,yes,0.000,no,no,2753.535,248.035,31.925,-0.125,0.625,no,no,corrected,rotated_180,50b7040d4aa8ec46416d38c8fc9eb420fc1f7556536ebe7559d80a47ea8699d6,0.064109,,keep,,yes
images/21069623848960-revq01nue8wapisdzbvbvp7wsjk6__p001.png,21069623848960_revq01nue8wapisdzbvbvp7wsjk6.pdf,1,pdf,1653,2339,0,0.921,no,0.000,no,no,5421.923,244.113,40.433,-0.000,0.685,no,no,accepted,,572873bf0064e0412d87fc16f0085d4ca1c390de4e103b68951809702e399825,0.076144,,keep,,yes
images/21069623848960-revq01nue8wapisdzbvbvp7wsjk6__p002.png,21069623848960_revq01nue8wapisdzbvbvp7wsjk6.pdf,2,pdf,1653,2339,180,0.781,no,0.000,no,no,2567.408,248.468,30.799,-0.250,0.651,no,no,review,orientation_uncertain,4d7795db90c3cfedd4da5310bffc1c15b1920b32dd894b5face07ebdabf26e86,0.061915,,review,,yes
images/21069623865344-4wvy6gyfqk58hxpnivbppw24kd3s__p001.png,21069623865344_4wvy6gyfqk58hxpnivbppw24kd3s.pdf,1,pdf,1653,2339,0,0.921,no,0.000,no,no,6368.929,242.605,43.125,-0.000,0.809,no,no,accepted,,73b5b5b384b640bf93668588d6bdbc8237ecfe9c6ce434ef81e0088812b229ea,0.083982,,keep,,yes
