image,source_document,page,source_type,width,height,sha256,content_ratio,duplicate_group,audit_status,audit_flags,include_in_training
images/21069564076032-i0cf7rm2msh0c5kuk90v31do3j3e__p007.png,21069564076032_i0cf7rm2msh0c5kuk90v31do3j3e.pdf,7,pdf,1654,2339,57978d6458db246d1f6148cb545c71deaaa1e8ef1dbc600addc1af825aeeeb48,0.248949,,keep,,yes
images/21069564076032-i0cf7rm2msh0c5kuk90v31do3j3e__p008.png,21069564076032_i0cf7rm2msh0c5kuk90v31do3j3e.pdf,8,pdf,1654,2339,cb9ac36e362b358686a84f81569c7af9af420accdbe0bbbc5bef886721a64a73,0.061714,dup_009,review,exact_duplicate,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p001.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,1,pdf,2339,1654,cc934a3aaf5a1a7cd3c52640c4f1adf77c83850191664766995898634ebc8413,0.343582,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p002.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,2,pdf,2339,1654,08a652e95e3bbcd934034fa75e6b87c26dcb6a139d11714dd4ba30db995927f9,0.360079,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p003.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,3,pdf,2339,1654,2148517837f833cbcdf4a8acac1360e2d2c83c7e47305527626ebde23ca9c926,0.359565,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p004.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,4,pdf,2339,1654,476a2cda339aa42d7c1278f4bb2163b04f5c6fdfde59440c8aa17e791c70575c,0.363233,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p005.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,5,pdf,2339,1654,d712cae7c95d7a80d9ee44b883160be35faeda412bf6df60dbb16631b8918217,0.362507,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p006.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,6,pdf,2339,1654,fc69b723f66e977df1c88f5759a4c99f4290b16f5d8e115835e767222aec4b78,0.361301,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p007.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,7,pdf,2339,1654,d91ae7c96288a7ea185754868311325c222f0734425d25f05561e11a7954ff45,0.362480,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p008.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,8,pdf,2339,1654,eb2bd2d86aa5468149c1d04dd16a843639a09c9ea539e380a8202d92ca1a5685,0.362662,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p009.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,9,pdf,2339,1654,c171412440a881431f429a2541ee6bfd71e95a056f0c6e81aea6be41d730b922,0.362913,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p010.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,10,pdf,2339,1654,63921b05b06dc065bcfaa448ddfc88f4220c62d10be28c99218276fa311eb36d,0.361826,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p011.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,11,pdf,2339,1654,ca8c175b70707d60c4f621b467aa539d87d43efe966d9028f9388829e0cde81e,0.360952,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p012.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,12,pdf,2339,1654,d69e320f1a479216bdcd0802c94a5726d774225a635e04166523179da3e7b513,0.359283,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p013.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,13,pdf,2339,1654,f686d0ec38e439be438adffb0740f6f66a7a4990eedb4b01fd063c74cc7527cd,0.353057,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p014.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,14,pdf,2339,1654,eab5c39b29c82676376cb7e43fd1038999efba49186f9c86b8f14603723330c4,0.347702,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p015.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,15,pdf,2339,1654,bc4657ec7033f2b0e58d4b8809c0d06414ec6dd5da7636c8a3f547468c191349,0.303904,,keep,,yes
images/21069564112896-t1zwsryban8koljpiuu80w31oc1f__p016.png,21069564112896_t1zwsryban8koljpiuu80w31oc1f.pdf,16,pdf,2339,1654,2d46f65b73c2ad2ea455b517edb16f5088d945ee2be2fb8477bd9f1d840a5fe8,0.061756,dup_010,review,exact_duplicate,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p001.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,1,pdf,2339,1654,6f9b7732e01bb1e5db41808d7dec7d9ab7175a218177243a873b5311305962b2,0.345197,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p002.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,2,pdf,2339,1654,144fd2ecff01fbc29f0da4e9752cd209bd6b63c6be3e3f1824c81b3f52cae74f,0.359750,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p003.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,3,pdf,2339,1654,6b388b92a751d0d178da3d1b8d30d93a6ad956a416c79725a329a57ce4ce8cac,0.359343,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p004.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,4,pdf,2339,1654,90d80f79c682656969f7ea7dd3d54c5b1a1bd2bef49feb3ba45d9c037aa4a6b8,0.363305,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p005.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,5,pdf,2339,1654,6763e0e0db97b7e9c7890fea14546d3d38f10ed8b186344a67ee65dff38061ee,0.362879,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p006.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,6,pdf,2339,1654,60da1b7b047514d075316b7140e00d76b9b7032dbf193ce9065b039553e7f697,0.362697,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p007.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,7,pdf,2339,1654,d727552738d6bc19a41ecdc49e26faead5350f2095ba7ee40c718954e41ad462,0.361545,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p008.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,8,pdf,2339,1654,2524e4c7bb5a9c9e663add368274d601e100256aa5a7283848b9eecf8bc4bd3c,0.363410,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p009.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,9,pdf,2339,1654,d772f317774c6fb46f6c20febf563fee8a5060b07a7fc30d518d4e77d947e7a3,0.362699,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p010.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,10,pdf,2339,1654,338da48d1e87f4858f7db51219e1978666e2c1041561c5e4c54a7ae40622fe14,0.361502,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p011.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,11,pdf,2339,1654,51b7660144b684d72cc632f168a09d247b9166eed8de39f2a768e90ff8a404e8,0.361685,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p012.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,12,pdf,2339,1654,6c173fc939efb5eb880899e65517e069a033e528f12f41295bc9b33ab12862c7,0.361146,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p013.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,13,pdf,2339,1654,638f756602419dc485293fca28c2ca40a29dab80909edc917d72760834fe2087,0.362183,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p014.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,14,pdf,2339,1654,b65f9011a89a08fce09ae86b7f4f01cdfa35522b86983ddc16c9f576e0754d6a,0.360775,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p015.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,15,pdf,2339,1654,ffa5e9b5b3fe45c39ae531861f6898da056a1a09266a8002ff72a02872a86a36,0.360762,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p016.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,16,pdf,2339,1654,a03300e4bc28490c6ee1b52be243ba0a7f9771d487be469073b96632034771cd,0.344246,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p017.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,17,pdf,2339,1654,a2da9be77b56be06375dc617183a47ca7fbb4d55a6203ff4f743e3820eebadb3,0.347908,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p018.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,18,pdf,2339,1654,6747f8238e50916925f213d52ce1fea497c9ee74539ac51477f8d3919c6e9631,0.300101,,keep,,yes
images/21069564121088-8ryjgk5xt84evoithfpf8ajjooxf__p019.png,21069564121088_8ryjgk5xt84evoithfpf8ajjooxf.pdf,19,pdf,2339,1654,2d46f65b73c2ad2ea455b517edb16f5088d945ee2be2fb8477bd9f1d840a5fe8,0.061756,dup_010,review,exact_duplicate,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p001.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,1,pdf,2339,1654,70f3016099b39b4591be2408dd7004e590a103a5c9a8ff9cec68850fa6d3eb9f,0.343619,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p002.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,2,pdf,2339,1654,4bbe6ec95e1be0696b7f1ada601e8f59de65668c8b521ce0a02fd99c190ad8bb,0.360546,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p003.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,3,pdf,2339,1654,73fee03c7fe9378105588f9312a82ae0d190dd219b4890cf5463f3abfac4654c,0.359008,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p004.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,4,pdf,2339,1654,2bb978b880d928e90035d46b00d18dd132ba4933a1fde01631bcdaefca7112bc,0.363199,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p005.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,5,pdf,2339,1654,e1477b46cc8d1a338bf9aee50ef84db11bdac5376d1e930d12456e85ae2f5774,0.363072,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p006.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,6,pdf,2339,1654,efb47f6fb4141bdb87ea9fc807619c7ac840d18e5b6d14bcaf18ae46e3273293,0.361705,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p007.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,7,pdf,2339,1654,a04c38044c05bbc078b983ffb1d8b507b37066c442c2bc8c29d74103f96e7f03,0.362683,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p008.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,8,pdf,2339,1654,23b0ff11e9a5675a0f633ec1bff7019ffcb84fd2f252ecbbadb23b052d028d4d,0.362182,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p009.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,9,pdf,2339,1654,da8b584af646e1f8332ff8f7c9a693086c6f8b7a1b04416df844d86bfb47769a,0.361740,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p010.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,10,pdf,2339,1654,632e65d9267546c3633912e9d991a149c3d51fac05304fe06c5924ddf406f194,0.362888,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p011.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,11,pdf,2339,1654,05337671c04126851ae159fcb0bb4216e16a51365f646ad4840f0c28ba2bd05b,0.362271,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p012.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,12,pdf,2339,1654,9df14540bae7ca06cdc0f30908904578766f29332f4a4c051fb88c81f8770ea9,0.360397,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p013.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,13,pdf,2339,1654,f97fbd960cd460a3151a52d723eac0d00b0c552aeee0ec0d80c95a9ee34f1514,0.344266,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p014.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,14,pdf,2339,1654,a270f17bc2b27b562c10c3c15d7415315783bc927ac174ac155c5cf1a2b5fc8c,0.347968,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p015.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,15,pdf,2339,1654,ad66a5986a1513e6427a11c4b068ead60607927f1dcd2b03c9ed0d0fd988de7d,0.300065,,keep,,yes
images/21069564125184-b7gn85boos5tjj1n54pokvbc2gi9__p016.png,21069564125184_b7gn85boos5tjj1n54pokvbc2gi9.pdf,16,pdf,2339,1654,2d46f65b73c2ad2ea455b517edb16f5088d945ee2be2fb8477bd9f1d840a5fe8,0.061756,dup_010,review,exact_duplicate,yes
images/21069564141568-cd27ccfs1z885vmhbig6vkr40y7d__p001.png,21069564141568_cd27ccfs1z885vmhbig6vkr40y7d.pdf,1,pdf,1654,2339,71d1a1b6700aa4e821aa3669c2690cb67b9ad9e4603c70e3e72a04d2cb0791c9,0.356177,,keep,,yes
images/21069564141568-cd27ccfs1z885vmhbig6vkr40y7d__p002.png,21069564141568_cd27ccfs1z885vmhbig6vkr40y7d.pdf,2,pdf,1654,2339,3496e4cc67491db94c8a08215a4a5d3f8d7479ab1488a8f4b0ef53f97e902f81,0.355417,,keep,,yes
images/21069564141568-cd27ccfs1z885vmhbig6vkr40y7d__p003.png,21069564141568_cd27ccfs1z885vmhbig6vkr40y7d.pdf,3,pdf,1654,2339,205f34c4bf1b60727f44da35b7dc97374219f035cd5b12cf5ff791d1b8fae7d9,0.355903,,keep,,yes
images/21069564141568-cd27ccfs1z885vmhbig6vkr40y7d__p004.png,21069564141568_cd27ccfs1z885vmhbig6vkr40y7d.pdf,4,pdf,1654,2339,08b8bddc6232254801ba97a79e8729490d4d436049f608e60576e5438b526e32,0.355725,,keep,,yes
images/21069564141568-cd27ccfs1z885vmhbig6vkr40y7d__p005.png,21069564141568_cd27ccfs1z885vmhbig6vkr40y7d.pdf,5,pdf,1654,2339,e60a1e13cb09c937060bc3931fef579a0aa03eca42e78bc093bace7b401091d5,0.321407,,keep,,yes
images/21069564141568-cd27ccfs1z885vmhbig6vkr40y7d__p006.png,21069564141568_cd27ccfs1z885vmhbig6vkr40y7d.pdf,6,pdf,1654,2339,fa72bac07779cbbe5f79066ba8da4670c29929affbc340a1ba5b13c459800768,0.249025,,keep,,yes
images/21069564141568-cd27ccfs1z885vmhbig6vkr40y7d__p007.png,21069564141568_cd27ccfs1z885vmhbig6vkr40y7d.pdf,7,pdf,1654,2339,cb9ac36e362b358686a84f81569c7af9af420accdbe0bbbc5bef886721a64a73,0.061714,dup_009,review,exact_duplicate,yes
images/21069564149760-gf62w0pxas9ri91gvkgwola465ny__p001.png,21069564149760_gf62w0pxas9ri91gvkgwola465ny.pdf,1,pdf,1654,2339,cdc3d21c17fcc8b35e35c34af4b8397778858169d3a4099a4d9dd2152a7f651e,0.357542,,keep,,yes
images/21069564149760-gf62w0pxas9ri91gvkgwola465ny__p002.png,21069564149760_gf62w0pxas9ri91gvkgwola465ny.pdf,2,pdf,1654,2339,c339b0ddfd3360a1d10b70e41dbd5ef5db7ebc99e496b798ab968fdda5ae6b96,0.339639,,keep,,yes
images/21069564149760-gf62w0pxas9ri91gvkgwola465ny__p003.png,21069564149760_gf62w0pxas9ri91gvkgwola465ny.pdf,3,pdf,1654,2339,8164579fc5757abe1aa11b480b518a9a1952bee6850b88a6c4152172cfaf28ce,0.248204,,keep,,yes
images/21069564149760-gf62w0pxas9ri91gvkgwola465ny__p004.png,21069564149760_gf62w0pxas9ri91gvkgwola465ny.pdf,4,pdf,1654,2339,cb9ac36e362b358686a84f81569c7af9af420accdbe0bbbc5bef886721a64a73,0.061714,dup_009,review,exact_duplicate,yes
images/21069564157952-ztoiof5pczr484c9htjf934o6qcl__p001.png,21069564157952_ztoiof5pczr484c9htjf934o6qcl.pdf,1,pdf,1654,2339,b06ba05d94e8ebe0d2ce679ab742b6a868c82dcc73b7cafd545e8620427c1b89,0.356524,,keep,,yes
images/21069564157952-ztoiof5pczr484c9htjf934o6qcl__p002.png,21069564157952_ztoiof5pczr484c9htjf934o6qcl.pdf,2,pdf,1654,2339,1b80bf8a1e57941097270f13d5807afb79188955624430ded9f60399cf264aec,0.355100,,keep,,yes
images/21069564157952-ztoiof5pczr484c9htjf934o6qcl__p003.png,21069564157952_ztoiof5pczr484c9htjf934o6qcl.pdf,3,pdf,1654,2339,69136124bff7a272caa3984792570d9f2d9814ce47c9bd17ed25557638afe882,0.356215,,keep,,yes
images/21069564157952-ztoiof5pczr484c9htjf934o6qcl__p004.png,21069564157952_ztoiof5pczr484c9htjf934o6qcl.pdf,4,pdf,1654,2339,19c2e6736401eac59584f5a9979e7705ab7c0f4c1fc4ef203036435994109e66,0.355891,,keep,,yes
images/21069564157952-ztoiof5pczr484c9htjf934o6qcl__p005.png,21069564157952_ztoiof5pczr484c9htjf934o6qcl.pdf,5,pdf,1654,2339,dc5b335a7400abdbfe85902e371d8dd3fd8d2d2fc4ae5b203b3379d1af58bada,0.330224,,keep,,yes
images/21069564157952-ztoiof5pczr484c9htjf934o6qcl__p006.png,21069564157952_ztoiof5pczr484c9htjf934o6qcl.pdf,6,pdf,1654,2339,e53a615ccb49f1c9233d257b4e75f0ef236cf243366e0f9fd6fc10f71c18a731,0.248996,,keep,,yes
images/21069564157952-ztoiof5pczr484c9htjf934o6qcl__p007.png,21069564157952_ztoiof5pczr484c9htjf934o6qcl.pdf,7,pdf,1654,2339,cb9ac36e362b358686a84f81569c7af9af420accdbe0bbbc5bef886721a64a73,0.061714,dup_009,review,exact_duplicate,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p001.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,1,pdf,2339,1654,e1e787aa294e7cac22dd232aa846b8f1be9d702514a71e12beda92e846c87701,0.344401,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p002.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,2,pdf,2339,1654,5eb5aaa9cfbedceabf8f947ad322e8b870175a0efd1811cbf4221f20d0c34b19,0.358651,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p003.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,3,pdf,2339,1654,1b217d4995a645c7ea0dc7e99ef5ed170872d9bb5363a0e3b1be60d56e7c3c7c,0.361802,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p004.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,4,pdf,2339,1654,12f4646b533faa81d5cf98d4968580930705ec1de4584634a7b5ef911c4e9832,0.363471,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p005.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,5,pdf,2339,1654,59527e35c015b3042c665f1a93895911bc5cc4294a4748e5aabc1da3dc72e311,0.362834,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p006.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,6,pdf,2339,1654,e786ab92b34abe094783d6d2ce18f20500f88606794c7e1179d024f48b828b98,0.360949,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p007.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,7,pdf,2339,1654,67ec8010e9a0c10b3dad97c6e7769c37d762ed163ffdb25e539d0e45b5f7140f,0.362211,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p008.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,8,pdf,2339,1654,a41f6c9c7716ec9c8b9d130dfd810898be17cde25f26c3c0268b209342885ebc,0.362768,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p009.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,9,pdf,2339,1654,ff480076c04b0f7b67aa557a1abcb98dcacd45b331f1c40bd32ad78425f19460,0.361125,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p010.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,10,pdf,2339,1654,7f94cde4e26e1790fe966910e3f181083da84a408e1dbc435e5b7e6370e68e3a,0.361667,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p011.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,11,pdf,2339,1654,0411a0fb2356096025734c214d758a5b98b12c5417ae4e7e609f7b9955db49d6,0.361442,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p012.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,12,pdf,2339,1654,e1e2e8b79d7b30ba56e5ebd17f2b1fb4f7e37fb476b23b5d47ce92d49b0f595a,0.361835,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p013.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,13,pdf,2339,1654,b3a35dd6309856d88d3f44ac402afa365feaef2147bd37229fe82dcf72d976da,0.361068,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p014.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,14,pdf,2339,1654,c294789a5bd3f53ed2778cd4a1a611cc85a21341489f1546fc83c665b3f509b2,0.351225,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p015.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,15,pdf,2339,1654,c081f0ec2ab8a1902ee7b85e986fb149c57439eb16723aef11ee365a119ac0cd,0.350070,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p016.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,16,pdf,2339,1654,e66b1758c815ec5435198e0726bde5000a0453f03137f89df3d4d9f879f723a8,0.305775,,keep,,yes
images/21069564162048-ayzkr7aqarl7u6myq7tz2u0gdwn5__p017.png,21069564162048_ayzkr7aqarl7u6myq7tz2u0gdwn5.pdf,17,pdf,2339,1654,2d46f65b73c2ad2ea455b517edb16f5088d945ee2be2fb8477bd9f1d840a5fe8,0.061756,dup_010,review,exact_duplicate,yes
images/21069564166144-cfgiul90iykuqgc8cdffivbs5fg7__p001.png,21069564166144_cfgiul90iykuqgc8cdffivbs5fg7.pdf,1,pdf,1654,2339,2ae7882fc5a451a5cb3c75d7ca65a958d6c297021a290221d667c7004e7a6002,0.357578,,keep,,yes
images/21069564166144-cfgiul90iykuqgc8cdffivbs5fg7__p002.png,21069564166144_cfgiul90iykuqgc8cdffivbs5fg7.pdf,2,pdf,1654,2339,260abc18decf7d41846978ab1d48cab1be9a6244e8467224e780a9b88a7fa59f,0.327576,,keep,,yes
images/21069564166144-cfgiul90iykuqgc8cdffivbs5fg7__p003.png,21069564166144_cfgiul90iykuqgc8cdffivbs5fg7.pdf,3,pdf,1654,2339,ec114e8d6009d1ca7f7186061eafd4cfc31a41c61542f2b039797a49495f99a0,0.248858,,keep,,yes
images/21069564166144-cfgiul90iykuqgc8cdffivbs5fg7__p004.png,21069564166144_cfgiul90iykuqgc8cdffivbs5fg7.pdf,4,pdf,1654,2339,cb9ac36e362b358686a84f81569c7af9af420accdbe0bbbc5bef886721a64a73,0.061714,dup_009,review,exact_duplicate,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p001.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,1,pdf,2339,1654,723bcb4fc23fa877b29ffc4f8c8c816b7e1a0665870d6e15330c3b0ba18e8d38,0.351298,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p002.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,2,pdf,2339,1654,036d157f4023922ea2b43157219481faaddf70661f2093c553fa67220d5cf0b0,0.359933,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p003.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,3,pdf,2339,1654,248e347a849322466a584faad997195052285b8cb19dd7e92ac0425a7b4df9cc,0.359559,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p004.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,4,pdf,2339,1654,f8b1737df0610ffcd9c0c8305c63d63fe51c085d7a9f041ebd86ae5afe54e55c,0.362955,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p005.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,5,pdf,2339,1654,994cf22084d5ea8b2a71b9a905304c87a733dc54c9e97f314d082f027f798a77,0.362331,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p006.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,6,pdf,2339,1654,b63b16940a87182caec53c21f72d86d3b20d567c576a508b20906a140c6d7183,0.362678,,keep,,yes
images/21069564223488-iii2a4t1qi3u64k5qq9h8dxcllzk__p007.png,21069564223488_iii2a4t1qi3u64k5qq9h8dxcllzk.pdf,7,pdf,2339,1654,7ba23545df829ae6443e486b6b3666d92a04ba96baba4827d8e66153e57d2855,0.362297,,keep,,yes
